Test Name,Section #,Section Name,Test ID,Function Block,Test Type,Category,Method,IUT,Test Purpose / Requirement,Initial Conditions,Test Steps,Example Test Input,Example Test Output,Success Criteria,Warning Criteria,Failure Criteria,Result,Comments,Include Test (tb deleted),DMD Test,CMD Test,,New IDs
ElectricPowerQualitySummary longInterruptions,REQ.21.4,,D116,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:longInterruptions",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:longInterruptions,,,X,X,,,
ElectricPowerQualitySummary mainsVoltage,REQ.21.4,,D117,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:mainsVoltage",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:mainsVoltage,,,X,X,,,
ElectricPowerQualitySummary powerFrequency,REQ.21.4,,D118,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:powerFrequency",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:powerFrequency,,,X,X,,,
ElectricPowerQualitySummary rapidVoltageChanges,REQ.21.4,,D119,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:rapidVoltageChanges",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:rapidVoltageChanges,,,X,X,,,
ElectricPowerQualitySummary shortInterruptions,REQ.21.4,,D120,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:shortInterruptions",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:shortInterruptions,,,X,X,,,
ElectricPowerQualitySummary summaryInterval,REQ.21.4,,D121,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:summaryInterval",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:summaryInterval,,,X,X,,,
ElectricPowerQualitySummary supplyVoltageDips,REQ.21.4,,D122,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:supplyVoltageDips",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:supplyVoltageDips,,,X,X,,,
ElectricPowerQualitySummary supplyVoltageImbalance,REQ.21.4,,D123,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:supplyVoltageImbalance",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:supplyVoltageImbalance,,,X,X,,,
ElectricPowerQualitySummary supplyVoltageVariations,REQ.21.4,,D124,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:supplyVoltageVariations",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:supplyVoltageVariations,,,X,X,,,
ElectricPowerQualitySummary tempOvervoltage,REQ.21.4,,D125,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:tempOvervoltage",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:tempOvervoltage,,,X,X,,,
ElectricPowerQualitySummary,REQ.21.4,,D126,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:ElectricPowerQualitySummary] ",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary],,,X,X,,,
ElectricPowerQualitySummary title,REQ.21.4,,D127,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:atom:title",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:title,,,X,X,,,
ElectricPowerQualitySummary id,REQ.21.4,,D128,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:atom:id",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:id,,,X,X,,,
ElectricPowerQualitySummary self link,REQ.21.4,,D129,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:atom:link[@rel='self']/@href",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:link[@rel='self'],,,X,X,,,
ElectricPowerQualitySummary up link,REQ.21.4,,D130,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:atom:link[@rel='up']/@href",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:link[@rel='up'],,,X,X,,,
ElectricPowerQualitySummary published,REQ.21.4,,D131,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:atom:published",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:published,,,X,X,,,
ElectricPowerQualitySummary updated,REQ.21.4,,D132,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:atom:updated",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:updated,,,X,X,,,
ElectricPowerQualitySummary self link,REQ.21.4,,D133,FB_17,Positive,Data Element,Test,Both,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]
TEST:count(/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days_Additional_M.xml,,,,Duplicate:espi:ElectricPowerQualitySummary[1],,,X,X,,,
summaryInterval DateTimeInterval,REQ.21.4,,D134,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:summaryInterval/espi:duration and atom:content/espi:ElectricPowerQualitySummary/espi:summaryInterval/espi:start",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:summaryInterval/espi:duration,,,X,X,,,
LocalTimeParameters self link,REQ.21.4,,D135,FB_01,Positive,Data Element,Test,Both,verify that each LocalTimeParameter points to at least one UsagePoint,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:count(/atom:feed/atom:entry[*/espi:UsagePoint]/atom:link[@rel='related' and @href=current()/atom:link[@rel='self']/@href])>0",1hrLP_32Days.xml,,,,RemoveEntry:atom:entry[atom:content/espi:UsagePoint],,,X,X,,,
LocalTimeParameters,REQ.21.4,,D136,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:LocalTimeParameters] ",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters],,,X,X,X,,
LocalTimeParameters title,REQ.21.4,,D137,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:atom:title",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters]/atom:title,,,X,X,,,
LocalTimeParameters id,REQ.21.4,,D138,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:atom:id",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters]/atom:id,,,X,X,,,
LocalTimeParameters self link,REQ.21.4,,D139,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:atom:link[@rel='self']/@href",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters]/atom:link[@rel='self'],,,X,X,,,
LocalTimeParameters up link,REQ.21.4,,D140,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:atom:link[@rel='up']/@href",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters]/atom:link[@rel='up'],,,X,X,,,
LocalTimeParameters published,REQ.21.4,,D141,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:atom:published",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters]/atom:published,,,X,X,,,
LocalTimeParameters updated,REQ.21.4,,D142,FB_01,Positive,Data Element,Test,,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:atom:updated",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:LocalTimeParameters]/atom:updated,,,X,X,,,
LocalTimeParameters self link,REQ.21.4,,D143,FB_01,Positive,Data Element,Test,,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:LocalTimeParameters]
TEST:count(/atom:feed/atom:entry[*/espi:LocalTimeParameters]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:LocalTimeParameters[1],,,X,X,,,
Timestamps in UTC,,,D144,FB_01,Positive,Format,Analysis,Server,Verify by analysis that ESPI timestamps (based on espi:TimeType) in Green Button data files are based on UTC without timezone or DST offsets.,,"1. Log in as an eligible user.
2. Download UsagePoints and save XML Instance. Note starting date for data set should be 0:00 Local Time
3. Log out.
4. The testee will indicate the time and reference of the first IntervalBlock and first Interval.
5. Analyze the timestamps (paste into this time converter: http://www.epochconverter.com/) and verify that the start time of the first IntervalBlock is a UTC for that time (for example in note 2 this would be UTC equivalent of 0:00 local time).                                                                                                                                                                                                                                                                                                                                                                                                              ",,,All timestamps are based on UTC without timezone or DST offsets.,,,,,,X,,,
MeterReading Interval Block/Interval Readings/ are all unique (by start time),REQ.21.4,,D145,FB_04,Positive,Data Element,Test,Both,verify the presence of unique values,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:count (/atom:feed/atom:entry/atom:content/espi:IntervalBlock[../../atom:link[@rel='up']/@href = current()/atom:link[@rel='related']/@href]/espi:IntervalReading[espi:timePeriod/espi:start = preceding-sibling::espi:IntervalReading/espi:timePeriod/espi:start])=0",1hrLP_32Days.xml,,,,Duplicate2:atom:feed/atom:entry[4]/atom:content/espi:IntervalBlock[1]/espi:IntervalReading[1],,,X,X,,,
MeterReading Interval Blocks are all unique (by start time),REQ.21.4,,D146,FB_04,Positive,Data Element,Test,Both,verify the presence of unique values,,"CONTEXT:/atom:feed/atom:entry[*/espi:MeterReading]
TEST:count (/atom:feed/atom:entry[atom:link[@rel='up']/@href = current()/atom:link[@rel='related']/@href]/atom:content/espi:IntervalBlock/espi:interval/espi:start[ . = preceding::espi:IntervalBlock[../../atom:link[@rel='up']/@href = current()/atom:link[@rel='related']/@href]/espi:interval/espi:start])=0",1hrLP_32Days.xml,,,,Duplicate:espi:IntervalBlock[1],,,X,X,,,
ReadingType,REQ.21.4,,D147,FB_29,Positive,Data Element,Test,Server,verify the presence of temperature (Kelvin) readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:kind=46 and espi:uom=6]])>0",temperature.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:uom,,,X,X,,,
Repeatable UUIDs,,,FDFTP001,FB_01,Positive,Format,Demonstration,Server,Check UUIDs remain the same over time.,,"1.  Log in as an eligible user.
2.  Select at least one UsagePoint associated with the account.
3.  Download UsagePoints and save XML Instance.
4.  Log out.
5.  Log into same account.
6.  Select same UsagePoints that were selected in the first enquiry.
7.  Download UsagePoints and save XML Instance.
8.  Compare saved XML Instance files.
9.  All UUIDs in the two XML Instance files should be the same.",,,All UsagePoint  UUIDs remain the same over time.,,,,,,X,,,
Automated Content Tests for DMD,REQ.21.6.2,Communication,FDFTP002,FB_02,Positive,Format,Test,Server,Verify that schema validation and all automated test succeed,File has been downloaded,"1. Go to URL for automated test using FF web browser http://www.greenbuttondata.org/greentest.aspx 
2. Select the data content analysis subset of FBs according to the PICS
3. Check the box for download test results (under “4) Enable download of test results after test execution”)
4. Run the automated test by dropping the downloaded file on the designated place (under “5_Drop File Here to Upload”)
5. Download results file
6. Insert the test report below by using insert/object/text from file  and select downloaded test results (between ======= lines)
==========================
==========================","e.g. ""1hrLP_32Days.xml""",File 1hrLP_32Days.xml is valid.,All tests successful,Warnings are produced,Validation produces one or more errors,,,,X,,,
Correct timestamps,,,FDFTP008,FB_01,Positive,Format,,Server,Check atom timestamps (based on atom:dateTimeType) are encoded as Universal Coordinated Time (UTC),,"1. The testee indicates the time at which the feed.updated timestamp was created (could be when it was downloaded)
2.  Verify that the value of this timestamp is referenced to Zulu time (agrees with the universal time represented by the time given in 1)
3. Verify that they end in “Z” for Zulu ",,,All atom timestamps are based on UTC without timezone or DST offsets.,,,,,,X,,,
Atom feed - GET,REQ.21.6.2,Communication,FND001,FB_03,Positive,Fundamental,,Both,Verify GET behavior for feeds,Third Party has been authorized and configured,"1. Client sends GET request for atom:feed type resource
2. Server sends response ","GET /ReadingType HTTP/1.1
Host: espi.datacustodian.com","<?xml version=""1.0"" encoding=""UTF-8""?>
<entry xmlns=""http://www.w3.org/2005/Atom>
  <!-- […] -->
</entry>",,,,,,,,,,
Atom feed - PUT,REQ.21.6.2,Communication,FND002,FB_03,Negative,Fundamental,,Both,Verify PUT behavior for feeds,Third Party has been authorized and configured,"1. Client sends PUT request for atom:feed type resource
2. Server sends response ","PUT /ReadingType HTTP/1.1
Host: espi.datacustodian.com

<?xml version=""1.0"" encoding=""UTF-8""?>
<ReadingType/>","401 - Unauthorized
403 - Forbidden
405 - Method Not Allowed
",,,,,,,,,,
Atom feed - POST,REQ.21.6.2,Communication,FND003,FB_03,Negative,Fundamental,,Both,Verify POST behavior for feeds,Third Party has been authorized and configured,"1. Client sends POST request for atom:feed type resource
2. Server sends response ","POST /ReadingType HTTP/1.1
Host: espi.datacustodian.com

<?xml version=""1.0"" encoding=""UTF-8""?>
<ReadingType/>","401 - Unauthorized
403 - Forbidden
405 - Method Not Allowed
",,,,,,,,,,
Atom feed - DELETE,REQ.21.6.2,Communication,FND004,FB_03,Negative,Fundamental,,Both,Verify DELETE behavior for feeds,Third Party has been authorized and configured,"1. Client sends DELETE request for atom:feed type resource
2. Server sends response ","DELETE /ReadingType HTTP/1.1
Host: espi.datacustodian.com","401 - Unauthorized
403 - Forbidden
405 - Method Not Allowed
",,,,,,,,,,
Atom entry - GET,REQ.21.6.2,Communication,FND005,FB_03,Positive,Fundamental,,Both,Verify GET behavior for entries,Third Party has been authorized and configured,"1. Client sends GET request for atom:entry type (IdentifiedObject) resource
2. Server sends response ","GET /ReadingType/1 HTTP/1.1
Host: espi.datacustodian.com","<?xml version=""1.0"" encoding=""UTF-8""?>
<entry xmlns=""http://www.w3.org/2005/Atom>
  <!-- […] -->
</entry>",,,,,,,,,,
Atom entry - PUT,REQ.21.6.2,Communication,FND006,FB_03,Negative,Fundamental,,Both,Verify PUT behavior for entries,Third Party has been authorized and configured,"1. Client sends PUT request for atom:entry type (IdentifiedObject) resource
2. Server sends response ","PUT /ReadingType/1 HTTP/1.1
Host: espi.datacustodian.com

<?xml version=""1.0"" encoding=""UTF-8""?>
<ReadingType/>","401 - Unauthorized
403 - Forbidden
405 - Method Not Allowed
",,,,,,,,,,
Atom entry - POST,REQ.21.6.2,Communication,FND007,FB_03,Negative,Fundamental,,Both,Verify POST behavior for entries,Third Party has been authorized and configured,"1. Client sends POST request for atom:entry type (IdentifiedObject) resource
2. Server sends response ","POST /ReadingType/1 HTTP/1.1
Host: espi.datacustodian.com

<?xml version=""1.0"" encoding=""UTF-8""?>
<ReadingType/>","401 - Unauthorized
403 - Forbidden
405 - Method Not Allowed
",,,,,,,,,,
Atom entry - DELETE,REQ.21.6.2,Communication,FND008,FB_03,Negative,Fundamental,,Both,Verify DELETE behavior for entries,Third Party has been authorized and configured,"1. Client sends DELETE request for atom:entry type (IdentifiedObject) resource
2. Server sends response ","DELETE /ReadingType/1 HTTP/1.1
Host: espi.datacustodian.com","401 - Unauthorized
403 - Forbidden
405 - Method Not Allowed
",,,,,,,,,,
[? Ensure that quality flags are applied as appropriate?] GB Granular Data,,Green Button Requirements,GB002,FB_99,Negative,Information,Demonstration,Server,Export should not summarize usage data beyond what was captured by the meter,,"1.  Log in as an eligible user.
2.  Download UsagePoints and save XML Instance. 
3.  Log out.
4.  Inspect XML Instance file to confirm file contains granular interval data consistent with meter capability (i.e. 15-minute meter data is NOT reported as hourly meter data).                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",,,XML file contains interval data consistent with the AMI meter's capability.,,,,??? Not sure how to do this test.,,X,,,
GB Total Usage,,Green Button Requirements,GB003,FB_99,Positive,Information,Inspection,Server,Export shall provide total usage by commodity type,Test or user account credentials and Green Button Access established. Account must have at least two commodities represented -- suggest gas and electric.,"1.  Download data.
2.  Inspect file for presence of ElectricPowerUsageSummary entries.         ",,,Verify that there is one ElectricPowerUsageSummary per UsagePoint in the data file.,,,,,,X,,,
GB Data - Actual and Estimated,,Green Button Requirements,GB004,FB_99,Positive,Information,Demonstration,Server,"Export shall include all usage data available, including actual or estimates data (whichever available)",Test or user account credentials and Green Button Access established.,"1.  Construct data set that contains estimated and actual data elements.
2.  Specify dates containing missed / estimated reads, and verify that estimated data exists and is marked as such within the IntervalReadings.
3.  Download data.",,,Verify that the ReadingType defaultQuality is populated with either Raw or Actual and that some of the intervals have quality tags that signify the opposite.,,,,,,X,,,
GB Data - Denote Estimated,,Green Button Requirements,GB005,FB_99,Positive,Information,,Server,Export should denote estimated usage data,Note: As discussed need a summary level statement. Stating there are actual and estimated data in the data download.  Don’t need to denote at each interval level.  ,Covered by GB.13?,,,,,,,Agree this is duplicate,,X,,,
GB Data - Cost,,Green Button Requirements,GB006,FB_99,Positive,Information,,Server,Export should provide billing and/or pricing data available,"Test or user account credentials and Green Button Access established.
Note: Current version for this year this will not be provided","1.  Download data.
2.  Inspect ElectricPowerUsageSummary.",,,Verify that billLastPeriod and costAdditionalLastPeriod are populated.,,,,,,X,,,
GB Data - Privacy,,Green Button Requirements,GB007,FB_02,Negative,Privacy,Inspection,Server,Export should not provide or use Personally Identifiable Information (PII),Test or user account credentials and Green Button Access established.,"1. Log into test account.
2. Download the Green Button file and accept the recommended file name
3. Verify that the filename has no PII
4. Inspect the file contents and verify that no PII is present -- look at atom titles and uris",,,"Verify that no non-standard tags appear in the data file. 
Inspect the extension fields for illegitimate data.",,,,,,X,,,
GB Security File,,Green Button Requirements,GB008,FB_99,Negative,Security,Test,Server,Export should not encrypt the data,Test or user account credentials and Green Button Access established.,"1.  Download data.
2.  Validate against the schema.",,,Verify that file validates (therefore not encrypted and contains only shema valid text).,,,,"HTTPS should be used to encrypt the data in transit, but saved file should not require any further decryption.",,X,,,
GB File Naming,,Green Button Requirements,GB009,FB_30,Positive,Filename,Demonstration,Server,Export should use a standard file naming process and allow customer to change the file name when saving,Test or user account credentials and Green Button Access established.,"1.  Begin the download data.
2.  During the file ""SaveAs"" dialog, change the file name to ""test.xml"".
3. Verify that the file was saved as “test.xml”.",,,"Verify that the file saved is ""Test.xml""",,,,,,X,,,
GB File Format,,Green Button Requirements,GB010,FB_99,Positive,Format,,Server,Export shall use ESPI file format,Test or user account credentials and Green Button Access established.,"1.  Download data.
2.  Validate against the schema.",,,Verify that file validates (therefore not encrypted and contains only shema valid text).,,,,,,X,,,
GB Access,,Green Button Requirements,GB011,FB_30,Positive,User Interface,Demonstration,Server,Customer shall access the information based on current login to access their consumption data,Test or user account credentials and Green Button Access established.,"1. Log in as an eligible user and verify that applicable information is accessible by Green Button Icon on access screen.
2. Access the download function through accessing the Green Button Icon
3. Verify that unique information about the logged in user is presented prior to download.
4. Use the key combination alt + print screen and paste image here (between the ==== lines) – Note if appropriate erase or otherwise cover up personal data with “Paint Program""):
====================================
====================================",,,"After login, the user is presented with Green Button Graphic.

Pressing the Green Button Graphic provides the download or dialog to retrieve Green Button Data file.",,"No Green Button Graphic or
non-acting Green Button Graphic or data not retrievable via page instructions.",,,,X,,,
GB File Naming Convention,,Green Button Requirements,GB012,FB_30,Positive,Filename,Inspection,Server,Export shall have a common filename convention,Test or user account credentials and Green Button Access established.,"1.  Begin the download data.
2.  Inspect the file ""SaveAs"" for the default file name format.
3.  Inspect the filename for these features:
    1) Company name e.g. SDGE
    2) Type of service e.g. Electric, Gas, or Water
    3) Type of data e.g. Interval Data, Usage
    4) Timeframe of the data being downloaded start time and end time.
Filename Example: SDGE_Electric_60_Minute_01-11-2012_02-10-2013.XML
4. Paste the filename between the ==== lines
====================================
====================================",,,Verify that the file name provided meets the defined format.,,,,,,X,,,
GB Graphics,,Green Button Requirements,GB013,FB_30,Positive,User Interface,Inspection,Server,Common Green Button icon graphics shall be displayed,Test or user account credentials and Green Button Access established.,"1. Navigate to the Download My Data web page and verify that green button Download My Data is available
2. Verify that a Green Button Download My Data graphic is displayed on this page.",,,"Verify that page has Green Button ""Download My Data"" graphic",,,,,,X,,,
GB No Re-authentication,,Green Button Requirements,GB014,FB_30,Positive,User Interface,Demonstration,Server,Customer should not be authenticated or authorized as part of the download process,"Test or user account credentials and Green Button Access established.
Note: Customer will be authenticated as part of current login to access their data.","1. Log out and verify that green button is not accessible
2. Log in as an eligible user and verify that green button is accessible
3. Proceed to follow the instruction to download Green Button Data file
4. Verify that download does not require re-authentication",,,No second log in is required to access Green Button Data,,Second log in required during navigation to Green Button Data download.,,,,X,,,
GB Data - Access ,,Green Button Requirements,GB015,FB_30,Positive,User Interface,Demonstration,Server,Customer shall only have access to usage data from points associated with their customer accounts.,"Test or user account credentials and Green Button Access established. This account should have more than one UsagePoint.

A second test account is established with at least one Usage Point.",Testee asserts that a Usage Point and its associated Green Button Data is associated with a customer account and only available to the RetailCustomer while the account is active.,,,"User should not be able to download data for Usage Point(s) before they became the owner, or for which they are not currently the owner",,Successful download of non-owners data.,,May want to add requirement that warnings are shown,,X,,,
Green Button,,Green Button Requirements,GB001,FB_30,Positive,User Interface,Demonstration,Server,Customers shall have the ability to download usage data using a Green Button,Test or user account credentials and Green Button Access established.,"1. Log in as an eligible user and verify that green button functionality is accessible
2. Select web page in browser so graphic is showing
3. Use the key combination alt + print screen and paste image here (between two lines of ===):
====================================================
====================================================
4. Click on Green Button Graphic should convey the user to a download process dialog",,,"After login, the user is presented with Green Button Graphic.

Pressing the Green Button Graphic provides the download or dialog to retrieve Green Button Data file.",,"No Green Button Graphic or
non-acting Green Button Graphic",,,,X,,,
GB Data - Timeframe,,Green Button Requirements,GB016,FB_30,Positive,User Interface,Inspection,Server,"Customer shall be able to access at least 13 months of data, limited by usage data that has been collected by the data custodian and/or access rights",Test or user account credentials and Green Button Access established.,"1. Use procedure from Test GB017 to attempt to download at least 13 months of data from a valid point where at least 13 months of data exist.
2. Verify that there are at least 13 months of data in the file by using the http://www.epochconverter.com/ and compare the start of the first and last IntervalBlock in the file and verify they therefore contain 13 months of data. – total duration = (last IntervalBlock start time + duration – first IntervalBlock.start) / 86400",,,User should be able to retrieve at least 13 months if it has been acquired by the Data Custodian,,Greater than 13 months of data successfully retrieved.,,,,X,,,
GB Date Range Selection,,Green Button Requirements,GB017,FB_30,Positive,User Interface,Inspection,Server,Customers should be able to input “from” and “to” dates,Test or user account credentials and Green Button Access established.,"1. Navigate to Green Button download selection page, and verify that ""from"" and ""to"" date input controls are present.
2. Download an arbitrary selection of dates
3. Verify that the GBDMD file has only data within that date range.",,,The controls are present,,The controls are not present or will not accept up to 13 month range,,,,X,,,
GB Warning Missing,,Green Button Requirements,GB018,FB_30,Negative,User Interface,Inspection,Server,"If the full data range selected is not available, a message should be displayed that states that the data file does not cover the entire selected period. ",,"1. Attempt to download a range of data larger than what exists.
2. Verify that a message is displayed stating the data is unavailable.",,,A notice is displayed noting that the dataset does not contain all the requested intervals due to data availability. ,,,,,,X,,,
GB Save As,,Green Button Requirements,GB019,FB_30,Positive,User Interface,Inspection,Server,Customer should be able to save export file to any location they can access from the local machine,Test or user account credentials and Green Button Access established.,"After selecting the point and other inputs, verify that the save dialog allows the user to choose the save location.

Save to desktop

Save to download directory 

Save to My Documents",,,"Verify save location includes desktop, download, and My Documents directory.",,,,,,X,,,
